E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
cpmE, carE; carbapenem biosynthesis protein CpmE
IS15, IS26; transposase, IS6 family
smeA; membrane fusion protein, multidrug efflux system
smeB; multidrug efflux pump
smeC; outer membrane protein, multidrug efflux system
acrD; multidrug efflux pump
ramA; AraC family of transcriptional regulator, multidrug resistance transcriptional activator
mdtD; MFS transporter, DHA2 family, multidrug resistance protein
REXO4, REX4; RNA exonuclease 4 [EC:3.1.-.-]
DBR1; lariat debranching enzyme [EC:3.1.-.-]
hndA; NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3]
hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]
hndD; NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]
K18333; L-fucose dehydrogenase
fucD; L-fuconate dehydratase [EC:4.2.1.68]
K18335; 2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
K18336; 2,4-diketo-3-deoxy-L-fuconate hydrolase [EC:3.7.1.-]
LRA1; L-rhamnose 1-dehydrogenase [EC:1.1.1.378 1.1.1.377 1.1.1.173]
OTUD6; OTU domain-containing protein 6 [EC:3.4.19.12]
vanRB, vanR, vanRD; two-component system, OmpR family, response regulator VanR
vanSB, vanS, vanSD; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
vanW; vancomycin resistance protein VanW
vanH; D-specific alpha-keto acid dehydrogenase [EC:1.1.1.-]
vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]
vanRC, vanRE, vanRG; two-component system, OmpR family, response regulator VanR
vanSC, vanSE, vanSG; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
vanSAc; two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]
vanRAc; two-component system, OmpR family, response regulator VanR
vanJ; vancomycin resistance protein VanJ
vanK; vancomycin resistance protein VanK
padG; phenylglyoxylate dehydrogenase alpha subunit [EC:1.2.1.58]
padI; phenylglyoxylate dehydrogenase beta subunit [EC:1.2.1.58]
padE; phenylglyoxylate dehydrogenase gamma subunit [EC:1.2.1.58]
padF; phenylglyoxylate dehydrogenase delta subunit [EC:1.2.1.58]
padH; phenylglyoxylate dehydrogenase epsilon subunit [EC:1.2.1.58]
padA; phenylacetyl-CoA:acceptor oxidoreductase accessory protein
padB; phenylacetyl-CoA:acceptor oxidoreductase [EC:1.17.5.1 3.1.2.25]
padC; phenylacetyl-CoA:acceptor oxidoreductase 27-kDa subunit
padD; phenylacetyl-CoA:acceptor oxidoreductase 26-kDa subunit
bphH, xylJ, tesE; 2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132]
bphI, xylK, nahM, tesG; 4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase [EC:4.1.3.39 4.1.3.43]
bphJ, xylQ, nahO, tesF; acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]
CSE; caffeoylshikimate esterase [EC:3.1.1.-]
adh2; alcohol dehydrogenase [EC:1.1.1.-]
adh3; alcohol dehydrogenase [EC:1.1.1.-]
acmA; acetone monooxygenase (methyl acetate-forming) [EC:1.14.13.226]
acmB; methyl acetate hydrolase [EC:3.1.1.-]
hrpB1; type III secretion protein HrpB1
hrpB2; type III secretion inner rod protein HrpB2
hrpE; type III secretion hrp pilus HrpE
hrpF; type III secretion translocon protein HrpF
hpa2; lysozyme-related protein Hpa2
hpa1; type III secretion harpin protein Hpa1
hpaA; type III secretion regulatory protein HpaA
hpaB; type III secretion control protein HpaB
hpaC; type III secretion control protein HpaP
adh1; NAD+-dependent secondary alcohol dehydrogenase Adh1 [EC:1.1.1.-]
K18383; trans-feruloyl-CoA hydratase / vanillin synthase [EC:4.2.1.101 4.1.2.41]
L3HYPDH; trans-L-3-hydroxyproline dehydratase [EC:4.2.1.77]
ENPP5; ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [EC:3.1.-.-]
BPHL; valacyclovir hydrolase [EC:3.1.-.-]
KANSL1; KAT8 regulatory NSL complex subunit 1
KANSL2; KAT8 regulatory NSL complex subunit 2
PHF20; PHD finger protein 20
MSL3; male-specific lethal 3
TDRD3; tudor domain-containing protein 3
TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7
TDRKH, TDRD2; tudor domain-containing protein 2
TDRD5; tudor domain-containing protein 5
TDRD9; ATP-dependent RNA helicase TDRD9 [EC:3.6.4.13]
ASZ1, GASZ; ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1
MAEL; protein maelstrom
TNRC6, GW182; trinucleotide repeat-containing gene 6 protein
KRIMP; krimper
VRET; vreteno
THEX1, ERI1; 3'-5' exoribonuclease 1 [EC:3.1.-.-]
ERI2; ERI1 exoribonuclease 2 [EC:3.1.-.-]
ERI3, PINT1; ERI1 exoribonuclease 3 [EC:3.1.-.-]
DCGR8; microprocessor complex subunit DGCR8
TARBP2; RISC-loading complex subunit TARBP2
R2D2; R2D2
MOV10; helicase MOV-10 [EC:3.6.4.13]
CSE1, CAS, XPO2; exportin-2 (importin alpha re-exporter)
dhaa; 3-hydroxy-D-aspartate aldolase [EC:4.1.3.41]
ECHDC1; ethylmalonyl-CoA/methylmalonyl-CoA decarboxylase [EC:4.1.1.94 4.1.1.41]
hpdB; 4-hydroxyphenylacetate decarboxylase large subunit [EC:4.1.1.83]
hpdC; 4-hydroxyphenylacetate decarboxylase small subunit [EC:4.1.1.83]
legG, neuC2; GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]
legI, neuB2; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]
legF, ptmB; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]
ARMI; RNA helicase armi [EC:3.6.4.13]
virD1; type IV secretion system T-DNA border endonuclease VirD1
virD2; type IV secretion system T-DNA border endonuclease VirD2
PDE7; high affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7 [EC:3.1.4.53]
PDE8; high affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8 [EC:3.1.4.53]
PDE10; cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10 [EC:3.1.4.17 3.1.4.35]
CYTH; cytohesin
ARFGEF, BIG; brefeldin A-inhibited guanine nucleotide-exchange protein
GBF1; golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1
rrp1; two-component system, glycerol uptake and utilization response regulator
ndx1; diadenosine hexaphosphate hydrolase (ATP-forming) [EC:3.6.1.61]
ygiF; triphosphatase [EC:3.6.1.25]
NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]
PRUNE2, BMCC1; prune homolog 2
NUDT23; ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]
deaA; chitin disaccharide deacetylase [EC:3.5.1.105]
mca; mycothiol S-conjugate amidase [EC:3.5.1.115]
E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]
laaA; L-proline amide hydrolase [EC:3.5.1.101]
ACY3; N-acyl-aromatic-L-amino acid amidohydrolase [EC:3.5.1.114]
gpuA; guanidinopropionase [EC:3.5.3.17]
XPO7, EXP7; exportin-7
WASH1; WAS protein family homolog 1
FAM21; WASH complex subunit FAM21
CCDC53; WASH complex subunit CCDC53
RTSC, SPG8; WASH complex subunit strumpellin
MRT43, SWIP; WASH complex subunit 7
VPS26; vacuolar protein sorting-associated protein 26
VPS29; vacuolar protein sorting-associated protein 29
VPS35; vacuolar protein sorting-associated protein 35
TBC1D5; TBC1 domain family member 5
ARHGAP1, CDC42GAP; Rho GTPase-activating protein 1
ydjG; methylglyoxal reductase [EC:1.1.1.-]
accD6; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
fabY; acetoacetyl-[acyl-carrier protein] synthase [EC:2.3.1.180]
fabM; trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]
fliB; lysine-N-methylase [EC:2.1.1.-]
tetR; TetR/AcrR family transcriptional regulator, tetracycline repressor protein
RMT2; type IV protein arginine methyltransferase [EC:2.1.1.322]
yihV; sulfofructose kinase [EC:2.7.1.184]
yihS; sulfoquinovose isomerase [EC:5.3.1.31]
linN; cholesterol transport system auxiliary component
mas; Mce-associated membrane protein
ADCL; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
MYF6, MRF4; myogenic factor 6
HAND2; heart-and neural crest derivatives-expressed protein 2
DLX2; homeobox protein DLX2
OTX2; homeobox protein OTX2
ESX1; homeobox protein ESX1
FGF1; fibroblast growth factor 1
KSR2; kinase suppressor of Ras 2 [EC:2.7.11.1]
frvX; putative aminopeptidase FrvX [EC:3.4.11.-]
frvR; putative frv operon regulatory protein
AK6, FAP7; adenylate kinase [EC:2.7.4.3]
AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]
K18534; MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
thnA; putative oxidoreductase
thnD; putative oxidoreductase
thnK; putative methyltransferase
thnN; thienamycin biosynthesis protein ThnN
thnO; thienamycin biosynthesis protein ThnO
ramA; (R)-amidase [EC:3.5.1.100]
mdlY; mandelamide amidase [EC:3.5.1.86]
sprA; streptogrisin A [EC:3.4.21.80]
sprB; streptogrisin B [EC:3.4.21.81]
sprC; streptogrisin C [EC:3.4.21.-]
sprD; streptogrisin D [EC:3.4.21.-]
sprE; glutamyl endopeptidase II [EC:3.4.21.82]
ISN1; IMP and pyridine-specific 5'-nucleotidase [EC:3.1.3.99 3.1.3.-]
SDT1; pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-]
cmlA, cmlB, floR; MFS transporter, DHA1 family, florfenicol/chloramphenicol resistance protein
cmlR, cmx; MFS transporter, DHA1 family, chloramphenicol resistance protein
cpt; chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
qnr, mcbG; fluoroquinolone resistance protein
frdA; NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]
frdB; NADH-dependent fumarate reductase subunit B [EC:1.3.1.6]
frdC; NADH-dependent fumarate reductase subunit C
frdD; NADH-dependent fumarate reductase subunit D
frdE; NADH-dependent fumarate reductase subunit E
thnQ, cmmQ; 2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-]
thnL; methyltransferase [EC:2.1.1.-]
thnP; methyltransferase [EC:2.1.1.-]
thnG, cmmG; 2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-]
thnF, cmmF; N-acetyltransferase [EC:2.3.1.-]
pbuE; MFS transporter, DHA1 family, purine base/nucleoside efflux pump
thnR; CoA pyrophosphatase [EC:3.6.1.-]
thnH; hydrolase [EC:3.1.3.-]
cmm17; putative hydratase
cmmSu; putative sulfotransferase [EC:2.8.2.-]
cmmT, thnT; putative pantetheine hydrolase [EC:3.5.1.-]
ICP55; intermediate cleaving peptidase 55 [EC:3.4.11.26]
ptpA; Xaa-Xaa-Pro tripeptidyl-peptidase [EC:3.4.14.12]
TMEM86B; alkenylglycerophosphocholine hydrolase [EC:3.3.2.2]
XEG; xyloglucan-specific endo-beta-1,4-glucanase [EC:3.2.1.151]
EBM; mannosylglycoprotein endo-beta-mannosidase [EC:3.2.1.152]
CEL74A; xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]
6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]
ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]
thnM; carbapenam-3-carboxylate synthase [EC:6.3.3.6]
thnE; carboxymethylproline synthase [EC:2.3.1.226]
ACTR3, ARP3; actin-related protein 3
COQ4; ubiquinone biosynthesis protein COQ4
COQ9; ubiquinone biosynthesis protein COQ9
COQ10; coenzyme Q-binding protein COQ10
dfrA1, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
dfrA12, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
dfrD, dhfr; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
GGT1_5, CD224; gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
K18593; 4-hydroxybutyryl-CoA synthetase (ADP-forming) [EC:6.2.1.-]
K18594; 3-hydroxypropionyl-CoA synthetase (ADP-forming) [EC:6.2.1.-]
EML1_2; echinoderm microtubule-associated protein-like 1/2
EML5; echinoderm microtubule-associated protein-like 5
EML6; echinoderm microtubule-associated protein-like 6
K18601; aldehyde dehydrogenase [EC:1.2.1.-]
K18602; malonic semialdehyde reductase [EC:1.1.1.-]
K18603; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]
K18604; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]
K18605; biotin carboxyl carrier protein
HPPR; hydroxyphenylpyruvate reductase [EC:1.1.1.237]
pno; pyridoxine 4-oxidase [EC:1.1.3.12]
ppaT; pyridoxamine---pyruvate transaminase [EC:2.6.1.30]
pldh; pyridoxal 4-dehydrogenase [EC:1.1.1.107]
pdla; 4-pyridoxolactonase [EC:3.1.1.27]
K18611; 4-pyridoxate dehydrogenase [EC:1.1.1.-]
K18612; 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate dehydrogenase [EC:1.2.1.-]
K18613; 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase [EC:4.1.1.51]
K18614; 2-(acetamidomethylene)succinate hydrolase [EC:3.5.1.29]
RCSD1, CAPZIP; CapZ-interacting protein
CORO7; coronin-7
ANLN; actin-binding protein anillin
ADD; adducin
MAEA, EMP; macrophage erythroblast attacher
SHROOM; protein Shroom
TCHH; trichohyalin
TEKT1; tektin-1
TEKT2; tektin-2
TEKT3; tektin-3
TEKT4; tektin-4
MZT1, GIP1, GIP2; mitotic-spindle organizing protein 1
SPR1; protein SPIRAL1 and related proteins
TAN1; microtubule-binding protein TANGLED1
parM; plasmid segregation protein ParM
K18641; crenactin
creS; crescentin
KATNB1; katanin p80 WD40 repeat-containing subunit B1
EIF4EBP2; eukaryotic translation initiation factor 4E binding protein 2
ANP32A_C_D; acidic leucine-rich nuclear phosphoprotein 32 family member A/C/D
ANP32B; acidic leucine-rich nuclear phosphoprotein 32 family member B
ANP32E; acidic leucine-rich nuclear phosphoprotein 32 family member E
IMPL2; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15]
pehX; exo-poly-alpha-galacturonosidase [EC:3.2.1.82]
XGCA; oligoxyloglucan reducing-end-specific cellobiohydrolase [EC:3.2.1.150]
ntdC; glucose-6-phosphate 3-dehydrogenase [EC:1.1.1.361]
ntdA; 3-dehydro-glucose-6-phosphate---glutamate transaminase [EC:2.6.1.104]
ntdB; kanosamine-6-phosphate phosphatase [EC:3.1.3.92]
DDX19, DBP5; ATP-dependent RNA helicase DDX19/DBP5 [EC:3.6.4.13]
zapC; cell division protein ZapC
ACSF3; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
matB; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
matB; malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]
NUDT8; nudix motif 8 [EC:3.6.1.-]
ASCC1; activating signal cointegrator complex subunit 1
ASCC2; activating signal cointegrator complex subunit 2
ZC3H12, MCPIP; ribonuclease ZC3H12 [EC:3.1.-.-]
DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 [EC:2.7.12.1]
YAK1; dual specificity protein kinase YAK1 [EC:2.7.12.1]
dacA; diadenylate cyclase [EC:2.7.7.85]
bglK; beta-glucoside kinase [EC:2.7.1.85]
GALK2; N-acetylgalactosamine kinase [EC:2.7.1.157]
chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]
gspK; glucosamine kinase [EC:2.7.1.8]
GALAK; galacturonokinase [EC:2.7.1.44]
VTE5; phytol kinase [EC:2.7.1.182]
DIS3L; DIS3-like exonuclease 1 [EC:3.1.13.-]
rny; ribonucrease Y [EC:3.1.-.-]
rus; rusticyanin
ALOXE3; hydroperoxy icosatetraenoate dehydratase/isomerase [EC:4.2.1.152 5.4.4.7]
K18689; mevalonate-3-kinase [EC:2.7.1.185]
K18690; mevalonate-3-phosphate-5-kinase [EC:2.7.1.186]
mltF; membrane-bound lytic murein transglycosylase F [EC:4.2.2.-]
cshB; ATP-dependent RNA helicase CshB [EC:3.6.4.13]
DPP1, DPPL, PLPP4_5; diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.1.3.81 3.1.3.4]
PGC1; phosphatidylglycerol phospholipase C [EC:3.1.4.-]
GPCPD1; glycerophosphocholine phosphodiesterase GPCPD1 [EC:3.1.4.2]
GDE1; glycerophosphodiester phosphodiesterase [EC:3.1.4.46]
pgpC; phosphatidylglycerophosphatase C [EC:3.1.3.27]
blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]
blaSHV; beta-lactamase class A SHV [EC:3.5.2.6]
flK; fluoroacetyl-CoA thioesterase [EC:3.1.2.29]
arsC; arsenate-mycothiol transferase [EC:2.8.4.2]
uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]
SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]
tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]
mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]
FAM103A1; RNMT-activating mini protein
TUT1; speckle targeted PIP5K1A-regulated poly(A) polymerase [EC:2.7.7.19 2.7.7.52]
SLBP; histone RNA hairpin-binding protein
NUP159; nucleoporin NUP159
NUP42, RIP1; nucleoporin NUP42
ASM4, NUP59; nucleoporin ASM4
NUP1; nucleoporin NUP1
NUP2; nucleoporin NUP2
GLE1; nucleoporin GLE1
FAF2, UBXD8; FAS-associated factor 2
EIF4ENIF1; eukaryotic translation initiation factor 4E transporter
ANGEL; protein angel
GIGYF; PERQ amino acid-rich with GYF domain-containing protein
SARNP, CIP29, THO1; SAP domain-containing ribonucleoprotein
LARP6; la-related protein 6
SMG8; protein SMG8
SMG9; protein SMG9
SHE3; SWI5-dependent HO expression protein 3
BICD; protein bicaudal D
EXD1, EGL; exonuclease 3'-5' domain-containing protein 1
NANOS1, NOS1; protein nanos 1
OSK; maternal effect protein oskar
CAPRIN1, GPIAP1; caprin-1
EXU; maternal protein exuperantia
SXL; protein sex-lethal
LSM14, RAP55, SCD6; protein LSM14
TNPO1, IPO2, KPNB2; transportin-1
ZFP36L; butyrate response factor
LIN28; protein lin-28
BICC1, BICC; protein bicaudal C
LARP1; la-related protein 1
DIS3L2; DIS3-like exonuclease 2 [EC:3.1.13.-]
LARP4; la-related protein 4
CCRN4L; nocturnin [EC:3.1.13.4]
csrD; RNase E specificity factor CsrD
blaZ; beta-lactamase class A BlaZ [EC:3.5.2.6]
blaCTX-M; beta-lactamase class A CTX-M [EC:3.5.2.6]
blaKPC; beta-lactamase class A KPC [EC:3.5.2.6]
pbpD; penicillin-binding protein 4 [EC:2.4.1.129 3.4.16.4]
lf2; levanbiose-producing levanase [EC:3.2.1.64]
zapD; cell division protein ZapD
tgtA; 7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]
blaNDM; metallo-beta-lactamase class B NDM [EC:3.5.2.6]
blaVIM; metallo-beta-lactamase class B VIM [EC:3.5.2.6]
blaIMP; metallo-beta-lactamase class B IMP [EC:3.5.2.6]
E2.4.1.279; nigerose phosphorylase [EC:2.4.1.279]
E2.4.1.282; 3-O-alpha-D-glucosyl-L-rhamnose phosphorylase [EC:2.4.1.282]
mp2; beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]
E2.4.1.321; cellobionic acid phosphorylase [EC:2.4.1.321]
ACL5; thermospermine synthase [EC:2.5.1.79]
wbbD; UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase [EC:2.4.1.303]
XGD1; xylogalacturonan beta-1,3-xylosyltransferase [EC:2.4.2.41]
blaOXA-1; beta-lactamase class D OXA-1 [EC:3.5.2.6]
blaOXA-2; beta-lactamase class D OXA-2 [EC:3.5.2.6]
blaOXA-10; beta-lactamase class D OXA-10 [EC:3.5.2.6]
blaOXA-23; beta-lactamase class D OXA-23 [EC:3.5.2.6]
blaOXA-51; beta-lactamase class D OXA-51 [EC:3.5.2.6]
blaCARB-1; beta-lactamase class A CARB-1 [EC:3.5.2.6]
blaLEN; beta-lactamase class A LEN [EC:3.5.2.6]
blaPER; beta-lactamase class A PER [EC:3.5.2.6]
AFG1, LACE1; peroxisome-assembly ATPase [EC:3.6.4.7]
wzxB, rfbX; O-antigen flippase
ubiI; 2-octaprenylphenol hydroxylase [EC:1.14.13.-]
GXM; glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
DUG3; glutamine amidotransferase
KIF7; kinesin family member 7
TL; protein toll
CYCD1_2_4; cyclin D1/2/4, plant
CYCD5; cyclin D5, plant
CYCD6; cyclin D6, plant
CYCD7; cyclin D7, plant
ictB; putative inorganic carbon (hco3(-)) transporter
aac6-I; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]
aac6-I, aacA7; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]
hph; hygromycin-B 4-O-kinase [EC:2.7.1.163]
mgs; mannosylglycerate synthase [EC:2.4.1.269]
GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]
agd31B; oligosaccharide 4-alpha-D-glucosyltransferase [EC:2.4.1.161]
lipL; lipoyl amidotransferase [EC:2.3.1.200]
sul2; dihydropteroate synthase type 2 [EC:2.5.1.15]
sul3; dihydropteroate synthase type 3 [EC:2.5.1.15]
CAMKMT; calmodulin-lysine N-methyltransferase [EC:2.1.1.60]
wbdD, wbbD; O-antigen chain-terminating methyltransferase [EC:2.1.1.- 2.1.1.294 2.7.1.181]
mvpA, vapC; tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
mvpT, vapB; antitoxin VapB
pezA; HTH-type transcriptional regulator / antitoxin PezA
higA; HTH-type transcriptional regulator / antitoxin HigA
cmr; MFS transporter, DHA3 family, multidrug efflux protein
WRKY1; WRKY transcription factor 1
WRKY2; WRKY transcription factor 2
vcaE; reductase VcaE
cbtA; cytoskeleton-binding toxin CbtA and related proteins
cbeA; cytoskeleton bundling-enhancing protein CbeA and related proteins
ghoT; toxin GhoT
ghoS; antitoxin GhoS
chpB, chpBK; mRNA interferase ChpB [EC:3.1.-.-]
chpS, chpBI; antitoxin ChpS
hicB; antitoxin HicB
aph, spcN; spectinomycin phosphotransferase
rmt, armA; 16S rRNA (guanine(1405)-N(7))-methyltransferase [EC:2.1.1.179]
npmA; 16S rRNA (adenine(1408)-N(1))-methyltransferase [EC:2.1.1.180]
E2.2.1.8; fluorothreonine transaldolase [EC:2.2.1.8]
IAMT1; indole-3-acetate O-methyltransferase [EC:2.1.1.278]
ycfD; 50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]
fbp; diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase [EC:2.3.1.20 2.3.1.122]
HPA3; D-amino-acid N-acetyltransferase [EC:2.3.1.36]
dmrX; dihydromethanopterin reductase (acceptor) [EC:1.5.99.15]
E1.1.1.374; UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]
vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]
ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D
sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D
K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]
ldrA_B_C_D; small toxic polypeptide LdrA/B/C/D
vanXY; zinc D-Ala-D-Ala dipeptidase/carboxypeptidase [EC:3.4.13.22 3.4.17.14]
avrRps4; type III effector protein AvrRps4
EDS1; enhanced disease susceptibility 1 protein
avrBs3; type III effector protein AvrBs3
xopD; type III effector protein XopD
DJ1D; D-lactate dehydratase [EC:4.2.1.130]
priL, pri2, priB; DNA primase large subunit [EC:2.7.7.-]
GAMT2; gibberellin A4 carboxyl methyltransferase [EC:2.1.1.276]
efrA; ATP-binding cassette, subfamily B, multidrug efflux pump
efrB; ATP-binding cassette, subfamily B, multidrug efflux pump
mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump
mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump
patA, rscA, lmrC, satA; ATP-binding cassette, subfamily B, multidrug efflux pump
patB, rscB, lmrC, satB; ATP-binding cassette, subfamily B, multidrug efflux pump
vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump
K18894; ATP-binding cassette, subfamily B, multidrug efflux pump
iroC; ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter
gsmt; glycine/sarcosine N-methyltransferase [EC:2.1.1.156]
sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]
mdtE; membrane fusion protein, multidrug efflux system
mdtF; multidrug efflux pump
bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC
bpeE; membrane fusion protein, multidrug efflux system
bpeF; multidrug efflux pump
oprC, opcM; outer membrane protein, multidrug efflux system
nodT, ameC; outer membrane protein, multidrug efflux system
ameR, rmiR; TetR/AcrR family transcriptional regulator, repressor of the ameABC operon
mgrA; MarR family transcriptional regulator, multiple gene regulator MgrA
norG; GntR family transcriptional regulator, regulator for abcA and norABC
mepA; multidrug efflux pump
mepR; MarR family transcriptional regulator, repressor for mepA
dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]
egtD; L-histidine Nalpha-methyltransferase [EC:2.1.1.44]
egtB; gamma-glutamyl hercynylcysteine S-oxide synthase [EC:1.14.99.50]
egtE; hercynylcysteine S-oxide lyase [EC:4.4.1.36]
FDXR; adrenodoxin-NADP+ reductase [EC:1.18.1.6]
feR; ferric-chelate reductase [NAD(P)H] [EC:1.16.1.10]
ptxD; phosphonate dehydrogenase [EC:1.20.1.1]
mrx1; mycoredoxin [EC:1.20.4.3]
relB; RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB
hokC_D; protein HokC/D
hokA; protein HokA
hokB; protein HokB
hokE; protein HokE
stbD; antitoxin StbD
ykkC; paired small multidrug resistance pump
ykkD; paired small multidrug resistance pump
lmrB; MFS transporter, DHA2 family, lincomycin resistance protein
lldR; LysR family transcriptional regulator, L-lactate utilization regulator
lldE; L-lactate dehydrogenase complex protein LldE
lldF; L-lactate dehydrogenase complex protein LldF
dld; D-lactate dehydrogenase
ampp; AMP phosphorylase [EC:2.4.2.57]
ZDHHC; palmitoyltransferase [EC:2.3.1.225]
mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]
lmrS; MFS transporter, DHA2 family, multidrug resistance protein
sdrM; MFS transporter, DHA2 family, multidrug resistance protein
mdeA; MFS transporter, DHA2 family, multidrug resistance protein
lfrR; TetR/AcrR family transcriptional regulator, repressor for lfrA
qacR; TetR/AcrR family transcriptional regulator, repressor for qacA
lmrA, yxaF; TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor
arlS; two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]
arlR; two-component system, OmpR family, response regulator ArlR
